Year,Therapeutic Name,Eventual Brand Name,NDC Code,"Active Pharmaceutical Ingredient","Gene Delivery System",Targeting Strategy,Delivery Method,NCT ID,Study URL,Study Type,Phase,Trial Status,clinical trial purpose,Therapeutic Purpose,Disease Studied by Clinical Trial,DIsease Targeted by Intervention,Disease Type ,Reason for Termination,Clinical Trial Start Date,Clinical Trial End Date,"Clinical Trial Duration
(Months)",Clinical Trial Size,Enrolled type,Row in the US Polulation sheet that corresponds to the year,Column in the US Population sheet that correspoinds to the age group,Address in the US Population sheet that corresponds to the year and age group,Sex,Age,,Target Population Size,Estimated Disease Prevalence,Estimated Population Affected by Disease,Target Population Indicator,Uptake Propensity,Estimated Potential Impact,Population Multiplier using Age/Sex,Population Impacted,Entity,Entity Type,Entity Employee Count,Entity Size,Entity Research Status,Sponsor,Sponsor Type,Sponsor Class,Collaborators,Manufacturer,Treatment Cost
2024,2024-2025 formula,Comirnaty,N/A,messenger RNA,LNP,Untargeted,in-vivo,NCT06633835,https://clinicaltrials.gov/study/NCT06633835,Interventional,Phase 4,Active Not Recruiting,PREVENTION,PREVENTION,COVID-19,COVID-19,Infectious,N/A,9/20/24,12/31/24,3.4,660,ESTIMATED,7,7,'1a.1. US Population'!$G$7,ALL,"ADULT, OLDER_ADULT",COVID-19,"249,154,999",2.61%,"6,503,362",Common,79.15%,"197,213,032",0.773329128,"4,820,761",Novavax,INDUSTRY,"1,543",Small Pharma,FALSE,Novavax,SPONSOR,INDUSTRY,"""University of Utah""",BioNTech SE,$136.75 
2024,acne mRNA vaccine (ORI-001),N/A,N/A,messenger RNA,unclear,Untargeted,in-vivo,NCT06316297,https://clinicaltrials.gov/study/NCT06316297,Interventional,Phase 2,Recruiting,TREATMENT,TREATMENT,Acne,Acne,Dermatological,N/A,4/5/24,12/22/27,45.2,386,ESTIMATED,7,4,'1a.1. US Population'!$D$7,ALL,ADULT,Acne,"201,452,958",4.71%,"9,478,887",Common,100.00%,"9,478,887",0.62527118,0,"Sanofi Pasteur, a Sanofi Company",INDUSTRY,"86,088",Big Pharma,TRUE,"Sanofi Pasteur, a Sanofi Company",SPONSOR,INDUSTRY,N/A,"Sanofi Pasteur, a Sanofi Company",N/A
2021,ARCT-021,LUNAR-COV19,N/A,self-amplifying RNA,LNP,Untargeted,in-vivo,NCT05037097,https://clinicaltrials.gov/study/NCT05037097,Interventional,Phase 2,Completed,PREVENTION,PREVENTION,COVID-19,COVID-19,Infectious,N/A,8/30/21,12/19/23,28,72,ACTUAL,10,7,'1a.1. US Population'!$G$10,ALL,"ADULT, OLDER_ADULT",COVID-19,"249,154,999",2.61%,"6,503,362",Common,67.69%,"168,658,393",0.773329128,0,"Arcturus Therapeutics, Inc.",INDUSTRY,180,Small Pharma,TRUE,"Arcturus Therapeutics, Inc.",SPONSOR,INDUSTRY,N/A,"Arcturus Therapeutics, Inc.",N/A
2021,ARCT-021,LUNAR-COV19,N/A,self-amplifying RNA,LNP,Untargeted,in-vivo,NCT04668339,https://clinicaltrials.gov/study/NCT04668339,Interventional,Phase 2,Terminated,PREVENTION,PREVENTION,COVID-19,COVID-19,Infectious,A decision was made to terminate the study for operational/business reasons. The study was not terminated for reasons of safety or immunogenicity.,1/7/21,3/1/22,13.9,581,ACTUAL,10,7,'1a.1. US Population'!$G$10,ALL,"ADULT, OLDER_ADULT",COVID-19,"249,154,999",2.61%,"6,503,362",Common,67.69%,"168,658,393",0.773329128,0,"Arcturus Therapeutics, Inc.",INDUSTRY,180,Small Pharma,TRUE,"Arcturus Therapeutics, Inc.",SPONSOR,INDUSTRY,N/A,"Arcturus Therapeutics, Inc.",N/A
2021,ARCT-154,KOSTAIVE,N/A,self-amplifying RNA,unclear,Untargeted,in-vivo,NCT05037097,https://clinicaltrials.gov/study/NCT05037097,Interventional,Phase 2,Completed,PREVENTION,PREVENTION,COVID-19,COVID-19,Infectious,N/A,8/30/21,12/19/23,28,72,ACTUAL,10,7,'1a.1. US Population'!$G$10,ALL,"ADULT, OLDER_ADULT",COVID-19,"249,154,999",2.61%,"6,503,362",Common,67.69%,"168,658,393",0.773329128,0,"Arcturus Therapeutics, Inc.",INDUSTRY,180,Small Pharma,TRUE,"Arcturus Therapeutics, Inc.",SPONSOR,INDUSTRY,N/A,"Arcturus Therapeutics, Inc.",N/A
2021,ARCT-165,N/A,N/A,self-amplifying RNA,unclear,Untargeted,in-vivo,NCT05037097,https://clinicaltrials.gov/study/NCT05037097,Interventional,Phase 2,Completed,PREVENTION,PREVENTION,COVID-19,COVID-19,Infectious,N/A,8/30/21,12/19/23,28,72,ACTUAL,10,7,'1a.1. US Population'!$G$10,ALL,"ADULT, OLDER_ADULT",COVID-19,"249,154,999",2.61%,"6,503,362",Common,67.69%,"168,658,393",0.773329128,0,"Arcturus Therapeutics, Inc.",INDUSTRY,180,Small Pharma,TRUE,"Arcturus Therapeutics, Inc.",SPONSOR,INDUSTRY,N/A,"Arcturus Therapeutics, Inc.",N/A
2024,ARCT-810,LUNAR-OTC,N/A,messenger RNA,LNP,Untargeted,in-vivo,NCT06488313,https://clinicaltrials.gov/study/NCT06488313,Interventional,Phase 2,Recruiting,TREATMENT,TREATMENT,Ornithine Transcarbamylase Deficiency,Ornithine Transcarbamylase Deficiency,Genetic/Inherited Metabolic,N/A,6/10/24,6/1/26,24,9,ESTIMATED,7,8,'1a.1. US Population'!$H$7,ALL,"CHILD, ADULT, OLDER_ADULT",Ornithine Transcarbamylase Deficiency,"322,184,940",0.00%,"7,081",Rare,100.00%,"7,081",1,0,"Arcturus Therapeutics, Inc.",INDUSTRY,180,Small Pharma,TRUE,"Arcturus Therapeutics, Inc.",SPONSOR,INDUSTRY,N/A,"Arcturus Therapeutics, Inc.",N/A
2020,ARCT-810,LUNAR-OTC,N/A,messenger RNA,LNP,Untargeted,in-vivo,NCT04442347,https://clinicaltrials.gov/study/NCT04442347,Interventional,Phase 1,Completed,TREATMENT,TREATMENT,Ornithine Transcarbamylase Deficiency,Ornithine Transcarbamylase Deficiency,Genetic/Inherited Metabolic,N/A,11/3/20,8/30/23,34.3,16,ACTUAL,11,7,'1a.1. US Population'!$G$11,ALL,"ADULT, OLDER_ADULT",Ornithine Transcarbamylase Deficiency,"249,154,999",0.00%,"5,476",Ultra-Rare,100.00%,"5,476",0.773329128,0,"Arcturus Therapeutics, Inc.",INDUSTRY,180,Small Pharma,TRUE,"Arcturus Therapeutics, Inc.",SPONSOR,INDUSTRY,N/A,"Arcturus Therapeutics, Inc.",N/A
2023,ARTEMIS-C (AZD9838 and AZD6563),N/A,N/A,messenger RNA,VLP,Untargeted,in-vivo,NCT06147063,https://clinicaltrials.gov/study/NCT06147063,Interventional,Phase 1,Active Not Recruiting,PREVENTION,PREVENTION,"COVID-19, SARS-CoV-2 Infection",COVID-19,Infectious,N/A,11/27/23,4/30/24,5.2,243,ACTUAL,8,7,'1a.1. US Population'!$G$8,ALL,"ADULT, OLDER_ADULT",COVID-19,"249,154,999",2.61%,"6,503,362",Common,83.19%,"207,265,441",0.773329128,0,AstraZeneca,INDUSTRY,"89,900",Big Pharma,TRUE,AstraZeneca,SPONSOR,INDUSTRY,N/A,AstraZeneca,N/A
2022,BG505 MD39.3 gp151 CD4KO mRNA,N/A,N/A,messenger RNA,LNP,Untargeted,in-vivo,NCT05217641,https://clinicaltrials.gov/study/NCT05217641,Interventional,Phase 1,Active Not Recruiting,PREVENTION,PREVENTION,HIV,HIV,Infectious,N/A,2/11/22,7/17/23,17.4,108,ACTUAL,9,4,'1a.1. US Population'!$D$9,ALL,ADULT,HIV,"201,452,958",1.21%,"2,440,835",Common,83.65%,"168,513,018",0.62527118,0,National Institute of Allergy and Infectious Diseases (NIAID),NIH,non-industry,Non-Industry,TRUE,National Institute of Allergy and Infectious Diseases (NIAID),SPONSOR,NIH,"""National Institutes of Health (NIH)"", ""Department of Health and Human Services""","ModernaTX, Inc.",N/A
